target_class,fsd50k_label,clip_id,license
alarm_beep,Alarm,255850,by
alarm_beep,Alarm,403457,by
alarm_beep,Alarm,402958,by
alarm_beep,Alarm,425496,by
alarm_beep,Alarm,66585,cc0
alarm_beep,Alarm,66586,cc0
alarm_beep,Alarm,29724,sampling+
alarm_beep,Alarm,427039,by-nc
alarm_beep,Alarm,83488,sampling+
alarm_beep,Alarm,184355,by
alarm_beep,Alarm,254507,by
alarm_beep,Alarm,352305,by
alarm_beep,Alarm,68657,by
alarm_beep,Alarm,26176,by
alarm_beep,Alarm,26177,by
alarm_beep,Alarm,125520,cc0
alarm_beep,Alarm,322129,cc0
alarm_beep,Alarm,322130,cc0
alarm_beep,Alarm,19026,by
alarm_beep,Alarm,371833,cc0
alarm_beep,Alarm,371853,cc0
alarm_beep,Alarm,179858,cc0
alarm_beep,Alarm,179860,cc0
alarm_beep,Alarm,179861,cc0
alarm_beep,Alarm,179862,cc0
alarm_beep,Alarm,179863,cc0
alarm_beep,Alarm,179864,cc0
alarm_beep,Alarm,179865,cc0
alarm_beep,Alarm,379034,cc0
alarm_beep,Alarm,179867,cc0
alarm_beep,Alarm,424604,cc0
alarm_beep,Alarm,424603,cc0
alarm_beep,Alarm,179868,cc0
alarm_beep,Alarm,179866,cc0
alarm_beep,Alarm,377496,cc0
alarm_beep,Alarm,32417,cc0
alarm_beep,Alarm,113319,by
alarm_beep,Alarm,145577,by
alarm_beep,Alarm,47275,by
alarm_beep,Alarm,21687,sampling+
alarm_beep,Alarm,77509,by
alarm_beep,Alarm,182474,cc0
alarm_beep,Alarm,255699,by
alarm_beep,Alarm,255700,by
alarm_beep,Alarm,254678,cc0
alarm_beep,Alarm,212182,cc0
alarm_beep,Alarm,212186,cc0
alarm_beep,Alarm,212187,cc0
alarm_beep,Alarm,431841,cc0
alarm_beep,Alarm,175842,cc0
alarm_beep,Alarm,178402,cc0
alarm_beep,Alarm,175844,cc0
alarm_beep,Alarm,175843,cc0
alarm_beep,Alarm,175846,cc0
alarm_beep,Alarm,175847,cc0
alarm_beep,Alarm,175848,cc0
alarm_beep,Alarm,175849,cc0
alarm_beep,Alarm,175850,cc0
alarm_beep,Alarm,175851,cc0
alarm_beep,Alarm,175852,cc0
alarm_beep,Alarm,162541,cc0
alarm_beep,Alarm,162540,cc0
alarm_beep,Alarm,175855,cc0
alarm_beep,Alarm,175856,cc0
alarm_beep,Alarm,175853,cc0
alarm_beep,Alarm,171249,cc0
alarm_beep,Alarm,175854,cc0
alarm_beep,Alarm,174840,by
alarm_beep,Alarm,174841,by
alarm_beep,Alarm,170243,cc0
alarm_beep,Alarm,164625,cc0
alarm_beep,Alarm,164626,cc0
alarm_beep,Alarm,164627,cc0
alarm_beep,Alarm,331540,cc0
alarm_beep,Alarm,331542,cc0
alarm_beep,Alarm,264993,cc0
alarm_beep,Alarm,364839,by-nc
alarm_beep,Alarm,49974,cc0
alarm_beep,Alarm,6984,by
alarm_beep,Alarm,381774,by
alarm_beep,Alarm,381775,by
